Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/daanzu/wav2vec2_stt_python,https://sourcegraph.com/github.com/daanzu/wav2vec2_stt_python,setup.py,https://sourcegraph.com/github.com/daanzu/wav2vec2_stt_python/-/blob/setup.py,"[setup.py, [[0, 8]]]","[9, [[5, 12]]]"
content,github.com/aestream/aestream,https://sourcegraph.com/github.com/aestream/aestream,setup.py,https://sourcegraph.com/github.com/aestream/aestream/-/blob/setup.py,"[setup.py, [[0, 8]]]","[1, [[5, 12]]]"
content,github.com/Nicholaswogan/numbalsoda,https://sourcegraph.com/github.com/Nicholaswogan/numbalsoda,setup.py,https://sourcegraph.com/github.com/Nicholaswogan/numbalsoda/-/blob/setup.py,"[setup.py, [[0, 8]]]","[0, [[5, 12]]]; [21, [[19, 26]]]"
content,github.com/rathaumons/pyppbox,https://sourcegraph.com/github.com/rathaumons/pyppbox,setup.py,https://sourcegraph.com/github.com/rathaumons/pyppbox/-/blob/setup.py,"[setup.py, [[0, 8]]]","[21, [[7, 14]]]; [73, [[4, 11]]]"
content,github.com/uuosio/gscdk,https://sourcegraph.com/github.com/uuosio/gscdk,setup.py,https://sourcegraph.com/github.com/uuosio/gscdk/-/blob/setup.py,"[setup.py, [[0, 8]]]","[4, [[7, 14]]]"
content,github.com/InsightSoftwareConsortium/ITKTextureFeatures,https://sourcegraph.com/github.com/InsightSoftwareConsortium/ITKTextureFeatures,setup.py,https://sourcegraph.com/github.com/InsightSoftwareConsortium/ITKTextureFeatures/-/blob/setup.py,"[setup.py, [[0, 8]]]","[4, [[9, 16]]]"
content,github.com/Erotemic/netharn,https://sourcegraph.com/github.com/Erotemic/netharn,setup.py,https://sourcegraph.com/github.com/Erotemic/netharn/-/blob/setup.py,"[setup.py, [[0, 8]]]","[12, [[7, 14]]]; [216, [[10, 17]]]"
content,github.com/IntelPython/dpnp,https://sourcegraph.com/github.com/IntelPython/dpnp,setup.py,https://sourcegraph.com/github.com/IntelPython/dpnp/-/blob/setup.py,"[setup.py, [[0, 8]]]","[0, [[5, 12]]]"
content,github.com/yaozhenghangma/Material-MC,https://sourcegraph.com/github.com/yaozhenghangma/Material-MC,setup.py,https://sourcegraph.com/github.com/yaozhenghangma/Material-MC/-/blob/setup.py,"[setup.py, [[0, 8]]]","[3, [[9, 16]]]"
content,github.com/reticula-network/reticula-python,https://sourcegraph.com/github.com/reticula-network/reticula-python,setup.py,https://sourcegraph.com/github.com/reticula-network/reticula-python/-/blob/setup.py,"[setup.py, [[0, 8]]]","[3, [[9, 16]]]; [13, [[5, 12]]]"
content,github.com/python-packaging-tutorial/python-packaging-tutorial,https://sourcegraph.com/github.com/python-packaging-tutorial/python-packaging-tutorial,test_recipes/hello-cython/setup.py,https://sourcegraph.com/github.com/python-packaging-tutorial/python-packaging-tutorial/-/blob/test_recipes/hello-cython/setup.py,"[test_recipes/hello-cython/setup.py, [[26, 34]]]","[0, [[5, 12]]]"
content,github.com/steineggerlab/foldcomp,https://sourcegraph.com/github.com/steineggerlab/foldcomp,setup.py,https://sourcegraph.com/github.com/steineggerlab/foldcomp/-/blob/setup.py,"[setup.py, [[0, 8]]]","[0, [[5, 12]]]"
